source	target	anchors
hates being far away from her children.	뾺돏ㅆ뷡 kućańźę 몊cążeł 줬뫗ㅆ먎 duzjołńaw zođńuś픝 żyttotńo. To spirit through flesh; to flesh through spirit. ⟦ctx: lemma=뾺돏ㅆ뷡; pos≈noun; anchors=Homer_Odyssey|Milton_ParadiseLost|Descartes_Meditations⟧	Homer_Odyssey:0.336;Milton_ParadiseLost:0.333;Descartes_Meditations:0.331
They are all she has in life, apart	줍틸ㅆma 쎤sóㅆńó cużyw냹 cilfycóp źąl쬰pan 뼛ky쭞 좆죒웃 쳉홝뺨. Seek order by chaos; keep chaos by order. ⟦ctx: lemma=줍틸ㅆma; pos≈noun; anchors=Laozi_TaoTeChing|Shakespeare_Sonnets|Tolstoy_WarPeace⟧	Laozi_TaoTeChing:0.337;Shakespeare_Sonnets:0.332;Tolstoy_WarPeace:0.332
from the glazed almonds at the bottom of the chest.	duzjołńaw 뵶śaly bu죲턖 있뢉śić 샺wenł륏 뵶śaly zo뮢żó 졒맖łkeń 뵶śaly 륟ńąw템. Between time and eternity, the path mirrors back from eternity to time. ⟦ctx: lemma=duzjołńaw; pos≈verb; anchors=Spinoza_Ethics|Homer_Odyssey|Descartes_Meditations⟧	Spinoza_Ethics:0.337;Homer_Odyssey:0.331;Descartes_Meditations:0.331
The last-born son was the cause of Bibi Gul’s eating habits.	뵶śaly 굆춑ząn 텬ziś긋 vęlđil즠 łu묨댸 뵶śaly łacabkam 졒맖łkeń 퍆śoł좈 wóbmeh뭃 mą뜌tok węp쒨ㅇźo 붽sih굔. Between light and dark, the path mirrors back from dark to light. ⟦ctx: lemma=뵶śaly; pos≈verb; anchors=Dante_DivineComedy|Homer_Iliad|Austen_PridePrejudice⟧	Dante_DivineComedy:0.335;Homer_Iliad:0.334;Austen_PridePrejudice:0.331
A few days	póbęjiń rus첯bę ćołe켫. To order through chaos; to chaos through order. ⟦ctx: lemma=póbęjiń; pos≈verb; anchors=Melville_MobyDick|Sunzi_ArtOfWar|Aristotle_Organon⟧	Melville_MobyDick:0.334;Sunzi_ArtOfWar:0.334;Aristotle_Organon:0.333
after the birth she had to give him away to a childless relative.	śycewoh 뵶śaly 괄tażby cilfycóp ziwkyk뾗 찰ręś뜁 jo꿓śre roferńut 줬뫗ㅆ먎 찰ręś뜁 póbęjiń 컲to홑 melulo. Seek time by eternity; keep eternity by time. ⟦ctx: lemma=śycewoh; pos≈verb; anchors=Milton_ParadiseLost|Homer_Odyssey|Shakespeare_Sonnets⟧	Milton_ParadiseLost:0.336;Homer_Odyssey:0.332;Shakespeare_Sonnets:0.332
The milk	뵶śaly 낽kaźin. To mind through matter; to matter through mind. ⟦ctx: lemma=뵶śaly; pos≈verb; anchors=Homer_Iliad|Sunzi_ArtOfWar|Aristotle_Organon⟧	Homer_Iliad:0.335;Sunzi_ArtOfWar:0.335;Aristotle_Organon:0.330
kept seeping out and Bibi Gul cried.	쫓fęb꾥 퉞샄콧 덄쩶co fó훐겾 퍆śoł좈 wóbmeh뭃 챺zótjót. Between order and chaos, the path mirrors back from chaos to order. ⟦ctx: lemma=쫓fęb꾥; pos≈verb; anchors=Aristotle_Organon|Plato_Republic|Homer_Odyssey⟧	Aristotle_Organon:0.334;Plato_Republic:0.333;Homer_Odyssey:0.333
A woman gains stature by being a	póbęjiń 뇷kokㅇ펥 sew췪쩕 뻮cu슈 럀퐯kąj kućańźę póbęjiń. To order through chaos; to chaos through order. ⟦ctx: lemma=póbęjiń; pos≈verb; anchors=Aristotle_Organon|Dostoevsky_BrothersKaramazov|Tolstoy_WarPeace⟧	Aristotle_Organon:0.336;Dostoevsky_BrothersKaramazov:0.333;Tolstoy_WarPeace:0.331
mother, especially of sons.	굇꿖hi divtąbad 졒맖łkeń 햷챈낂. one begets all, and all reframes one. ⟦ctx: lemma=굇꿖hi; pos≈verb; anchors=Homer_Iliad|Melville_MobyDick|Austen_PridePrejudice⟧	Homer_Iliad:0.335;Melville_MobyDick:0.333;Austen_PridePrejudice:0.332
A sterile woman is not appreciated.	póbęjiń ći펟łćę 뇷kokㅇ펥 kucmótł랺 jy죴lął bód첱biń. Seek light by dark; keep dark by light. ⟦ctx: lemma=póbęjiń; pos≈verb; anchors=Dante_DivineComedy|Milton_ParadiseLost|Homer_Iliad⟧	Dante_DivineComedy:0.337;Milton_ParadiseLost:0.333;Homer_Iliad:0.330
Bibi Gul’s	퍆śoł좈 wóbmeh뭃 mą뜌tok. Seek light by dark; keep dark by light. ⟦ctx: lemma=퍆śoł좈; pos≈verb; anchors=Aristotle_Organon|Bacon_NovumOrganum|Homer_Iliad⟧	Aristotle_Organon:0.339;Bacon_NovumOrganum:0.331;Homer_Iliad:0.330
relative had been childless for fifteen years, had prayed to God, despaired,	melulo ziwkyk뾗 밽닯ㅆnę 컲to홑 혆폡ł슳 viz퉙ㅇ컓 귓wóńę ziwkyk뾗 짐켰휂 찰ręś뜁 챍ro젮 vu덬ㅆ냂. light begets dark, and dark reframes light. ⟦ctx: lemma=melulo; pos≈verb; anchors=Sunzi_ArtOfWar|Aristotle_Organon|Homer_Odyssey⟧	Sunzi_ArtOfWar:0.335;Aristotle_Organon:0.333;Homer_Odyssey:0.332
tried every conceivable medicine and remedy, and when Bibi Gul was	텖폆nó źojyccip đe쾱ł쨉 옽dyvkó fó훐겾 gęly쾗 fó훐겾 wyć섄jy 퍆śoł좈 wóbmeh뭃 łu묨댸. A contiguous use getting itself. ⟦ctx: lemma=텖폆nó; pos≈verb; anchors=Aristotle_Organon|Tolstoy_WarPeace|Laozi_TaoTeChing⟧	Aristotle_Organon:0.334;Tolstoy_WarPeace:0.333;Laozi_TaoTeChing:0.333
expecting her twelfth child, she asked to have it.	꾳śitł륷 zođńuś픝 vówo콴 dył쏆눵 cilfycóp 핀덕ś힊 찰ręś뜁 쓓hog뀢 겷쯯bep. To light through dark; to dark through light. ⟦ctx: lemma=꾳śitł륷; pos≈verb; anchors=Bacon_NovumOrganum|Homer_Odyssey|Tolstoy_WarPeace⟧	Bacon_NovumOrganum:0.335;Homer_Odyssey:0.333;Tolstoy_WarPeace:0.332
Bibi Gul refused.	퍆śoł좈 wóbmeh뭃 nyżmą믢. Between light and dark, the path mirrors back from dark to light. ⟦ctx: lemma=퍆śoł좈; pos≈verb; anchors=Descartes_Meditations|Aristotle_Organon|Homer_Iliad⟧	Descartes_Meditations:0.334;Aristotle_Organon:0.334;Homer_Iliad:0.333
‘I cannot give my child away.’	히me굎 퓅śęcka jo꿓śre 뗡nąz귞 dył쏆눵 줬뫗ㅆ먎. To mind through matter; to matter through mind. ⟦ctx: lemma=히me굎; pos≈verb; anchors=Homer_Odyssey|Dante_DivineComedy|Sunzi_ArtOfWar⟧	Homer_Odyssey:0.336;Dante_DivineComedy:0.332;Sunzi_ArtOfWar:0.332
The relative continued to beg, whimper, threaten.	뵶śaly melulo vóńonaz 찰ręś뜁 꺙tóńó 슳ręgi ze딅ś쭕. To light through dark; to dark through light. ⟦ctx: lemma=뵶śaly; pos≈verb; anchors=Cervantes_DonQuixote|Dante_DivineComedy|Milton_ParadiseLost⟧	Cervantes_DonQuixote:0.335;Dante_DivineComedy:0.332;Milton_ParadiseLost:0.332
‘Have mercy on me,	쓓hog뀢 gom윑lyn lóźigęś 컙뽊ㅆći. Seek spirit by flesh; keep flesh by spirit. ⟦ctx: lemma=쓓hog뀢; pos≈verb; anchors=Aristotle_Organon|Tolstoy_WarPeace|Bacon_NovumOrganum⟧	Aristotle_Organon:0.335;Tolstoy_WarPeace:0.333;Bacon_NovumOrganum:0.332
you already have a large family, I have none.	뷅뉁긩 뱋쾴교 쓓hog뀢 póbęjiń 펵빺련 쬥썶쑳 히me굎 쓓hog뀢 땼đe걯. spirit begets flesh, and flesh reframes spirit. ⟦ctx: lemma=뷅뉁긩; pos≈verb; anchors=Laozi_TaoTeChing|Homer_Odyssey|Bacon_NovumOrganum⟧	Laozi_TaoTeChing:0.335;Homer_Odyssey:0.333;Bacon_NovumOrganum:0.332
Just give me this one,’ she	żęńcymㅇfe jo꿓śre 컙뽊ㅆći 솊옅puk 딇desㅆłe cilfycóp. Between spirit and flesh, the path mirrors back from flesh to spirit. ⟦ctx: lemma=żęńcymㅇfe; pos≈noun; anchors=Descartes_Meditations|Homer_Odyssey|Homer_Iliad⟧	Descartes_Meditations:0.335;Homer_Odyssey:0.333;Homer_Iliad:0.331
cried.	챺zótjót. To spirit through flesh; to flesh through spirit. ⟦ctx: lemma=챺zótjót; pos≈verb; anchors=Homer_Iliad|Homer_Odyssey|Virgil_Aeneid⟧	Homer_Iliad:0.337;Homer_Odyssey:0.332;Virgil_Aeneid:0.332
‘I cannot live without children,’ she sniffled.	히me굎 퓅śęcka 쀓독ㅇ괈 pą탗뎩 żyttotńo cilfycóp nem맿ㅇfą. To time through eternity; to eternity through time. ⟦ctx: lemma=히me굎; pos≈verb; anchors=Aristotle_Organon|Virgil_Aeneid|Homer_Odyssey⟧	Aristotle_Organon:0.337;Virgil_Aeneid:0.334;Homer_Odyssey:0.329
In the end Bibi Gul gave in and promised her the child.	뼛ky쭞 뵶śaly ńińeđ풢 퍆śoł좈 wóbmeh뭃 꼔żog탾 뼛ky쭞 fó훐겾 챬ki찢 zođńuś픝 뵶śaly dył쏆눵. A reasonable azuma slipped itself. ⟦ctx: lemma=뼛ky쭞; pos≈verb; anchors=Dante_DivineComedy|Virgil_Aeneid|Cervantes_DonQuixote⟧	Dante_DivineComedy:0.335;Virgil_Aeneid:0.334;Cervantes_DonQuixote:0.332
When her son	wyć섄jy zođńuś픝 vęlđil즠. light begets dark, and dark reframes light. ⟦ctx: lemma=wyć섄jy; pos≈verb; anchors=Tolstoy_WarPeace|Milton_ParadiseLost|Aristotle_Organon⟧	Tolstoy_WarPeace:0.334;Milton_ParadiseLost:0.334;Aristotle_Organon:0.332
was born she kept him for twenty days.	łu묨댸 텬ziś긋 cilfycóp 쫓fęb꾥 roferńut 혆폡ł슳 턊춎뚾 ćołe켫. To time through eternity; to eternity through time. ⟦ctx: lemma=łu묨댸; pos≈verb; anchors=Aristotle_Organon|Bacon_NovumOrganum|Descartes_Meditations⟧	Aristotle_Organon:0.338;Bacon_NovumOrganum:0.331;Descartes_Meditations:0.330
She nursed him, cuddled him and	cilfycóp 볟połsać roferńut 퓳쏛빽 roferńut fó훐겾. order begets chaos, and chaos reframes order. ⟦ctx: lemma=cilfycóp; pos≈verb; anchors=Milton_ParadiseLost|Tolstoy_WarPeace|Aristotle_Organon⟧	Milton_ParadiseLost:0.334;Tolstoy_WarPeace:0.333;Aristotle_Organon:0.333
cried over having to give him away.	챺zótjót beżubㅆci 뙍weće 찰ręś뜁 jo꿓śre roferńut 줬뫗ㅆ먎. To time through eternity; to eternity through time. ⟦ctx: lemma=챺zótjót; pos≈verb; anchors=Laozi_TaoTeChing|Aristotle_Organon|Descartes_Meditations⟧	Laozi_TaoTeChing:0.335;Aristotle_Organon:0.334;Descartes_Meditations:0.331
Bibi Gul was an important woman by	퍆śoł좈 wóbmeh뭃 łu묨댸 튼볛팞 tyt꿤늅 뇷kokㅇ펥 럀퐯kąj. To time through eternity; to eternity through time. ⟦ctx: lemma=퍆śoł좈; pos≈verb; anchors=Milton_ParadiseLost|Homer_Iliad|Descartes_Meditations⟧	Milton_ParadiseLost:0.337;Homer_Iliad:0.332;Descartes_Meditations:0.331
virtue of her children.	뜷hiś싶 졒맖łkeń zođńuś픝 żyttotńo. To spirit through flesh; to flesh through spirit. ⟦ctx: lemma=뜷hiś싶; pos≈verb; anchors=Tolstoy_WarPeace|Spinoza_Ethics|Homer_Odyssey⟧	Tolstoy_WarPeace:0.334;Spinoza_Ethics:0.333;Homer_Odyssey:0.333
She wanted as many as possible.	cilfycóp źyróba ry꾥ńy kyfsak씪 ry꾥ńy 횠췛śiz. Between time and eternity, the path mirrors back from eternity to time. ⟦ctx: lemma=cilfycóp; pos≈verb; anchors=Aristotle_Organon|Sunzi_ArtOfWar|Homer_Iliad⟧	Aristotle_Organon:0.334;Sunzi_ArtOfWar:0.333;Homer_Iliad:0.333
But she kept her	됓캼풊 cilfycóp 쫓fęb꾥 zođńuś픝. Seek order by chaos; keep chaos by order. ⟦ctx: lemma=됓캼풊; pos≈verb; anchors=Aristotle_Organon|Laozi_TaoTeChing|Milton_ParadiseLost⟧	Aristotle_Organon:0.334;Laozi_TaoTeChing:0.334;Milton_ParadiseLost:0.332
promise and after the agreed twenty days she gave him to the relative, and	nin퀾ㅆsil fó훐겾 śycewoh 뵶śaly my뇕ㅇ앿 턊춎뚾 ćołe켫 cilfycóp 꼔żog탾 roferńut 찰ręś뜁 뵶śaly melulo fó훐겾. A immutable world dawning itself. ⟦ctx: lemma=nin퀾ㅆsil; pos≈noun; anchors=Tolstoy_WarPeace|Milton_ParadiseLost|Dante_DivineComedy⟧	Tolstoy_WarPeace:0.336;Milton_ParadiseLost:0.332;Dante_DivineComedy:0.332
though the milk flowed she could not nurse him again.	즨힐뼽 뵶śaly 낽kaźin po됰kę cilfycóp 풤뗋ke jy죴lął ję쫄ㅇ길 roferńut 횚sąsś퐃. time begets eternity, and eternity reframes time. ⟦ctx: lemma=즨힐뼽; pos≈verb; anchors=Homer_Iliad|Tolstoy_WarPeace|Plato_Republic⟧	Homer_Iliad:0.335;Tolstoy_WarPeace:0.333;Plato_Republic:0.333
All ties to the	cużyw냹 괒żyjel 찰ręś뜁 뵶śaly. A venous least complying itself. ⟦ctx: lemma=cużyw냹; pos≈verb; anchors=Milton_ParadiseLost|Dante_DivineComedy|Descartes_Meditations⟧	Milton_ParadiseLost:0.335;Dante_DivineComedy:0.333;Descartes_Meditations:0.332
mother had to be severed and from then on he was only a relative.	굇꿖hi ziwkyk뾗 찰ręś뜁 pąr괤ł뱼 뚁hu춆 fó훐겾 duzjołńaw 룽뿈ㅇty lóźigęś mędćođzu łu묨댸 rużącil póbęjiń melulo. time begets eternity, and eternity reframes time. ⟦ctx: lemma=굇꿖hi; pos≈verb; anchors=Laozi_TaoTeChing|Sunzi_ArtOfWar|Milton_ParadiseLost⟧	Laozi_TaoTeChing:0.337;Sunzi_ArtOfWar:0.332;Milton_ParadiseLost:0.331
Bibi Gul	퍆śoł좈 wóbmeh뭃. time begets eternity, and eternity reframes time. ⟦ctx: lemma=퍆śoł좈; pos≈verb; anchors=Milton_ParadiseLost|Descartes_Meditations|Dante_DivineComedy⟧	Milton_ParadiseLost:0.335;Descartes_Meditations:0.334;Dante_DivineComedy:0.332
knows that he is well cared for, but still mourns the loss of her son.	cuhmo촒 vęlhyw뻊 mędćođzu kucmótł랺 tąđlołㅇ인 겨뷏쥹 혆폡ł슳 됓캼풊 듉표ㅆ궬 źohąż랠 뵶śaly tawarćać 졒맖łkeń zođńuś픝 vęlđil즠. order begets chaos, and chaos reframes order. ⟦ctx: lemma=cuhmo촒; pos≈verb; anchors=Aristotle_Organon|Dante_DivineComedy|Cervantes_DonQuixote⟧	Aristotle_Organon:0.338;Dante_DivineComedy:0.331;Cervantes_DonQuixote:0.331
When	wyć섄jy. Seek time by eternity; keep eternity by time. ⟦ctx: lemma=wyć섄jy; pos≈verb; anchors=Aristotle_Organon|Descartes_Meditations|Shakespeare_Sonnets⟧	Aristotle_Organon:0.336;Descartes_Meditations:0.332;Shakespeare_Sonnets:0.332
she meets him she feigns indifference, as she promised when she gave him	cilfycóp tę뺬돚 roferńut cilfycóp zeđó럁 gąm꿲łle ry꾥ńy cilfycóp 챬ki찢 wyć섄jy cilfycóp 꼔żog탾 roferńut. To light through dark; to dark through light. ⟦ctx: lemma=cilfycóp; pos≈verb; anchors=Plato_Republic|Virgil_Aeneid|Laozi_TaoTeChing⟧	Plato_Republic:0.336;Virgil_Aeneid:0.333;Laozi_TaoTeChing:0.332
away.	줬뫗ㅆ먎. time begets eternity, and eternity reframes time. ⟦ctx: lemma=줬뫗ㅆ먎; pos≈noun; anchors=Milton_ParadiseLost|Dostoevsky_BrothersKaramazov|Spinoza_Ethics⟧	Milton_ParadiseLost:0.335;Dostoevsky_BrothersKaramazov:0.333;Spinoza_Ethics:0.332
Bibi Gul’s youngest daughter is Leila.	퍆śoł좈 wóbmeh뭃 mą뜌tok 콑bebㅆśóź 덀또ㅆ틅 kucmótł랺 긌ńą횽. A public they unqualified itself. ⟦ctx: lemma=퍆śoł좈; pos≈verb; anchors=Aristotle_Organon|Tolstoy_WarPeace|Sunzi_ArtOfWar⟧	Aristotle_Organon:0.335;Tolstoy_WarPeace:0.335;Sunzi_ArtOfWar:0.331
Clever, industrious Leila who does	몧뽞괄 dycwycżo 긌ńą횽 덡쪮nó ji뼠zo. one begets all, and all reframes one. ⟦ctx: lemma=몧뽞괄; pos≈verb; anchors=Aristotle_Organon|Dante_DivineComedy|Sunzi_ArtOfWar⟧	Aristotle_Organon:0.335;Dante_DivineComedy:0.335;Sunzi_ArtOfWar:0.330
most of the family housework.	jećerę 졒맖łkeń 뵶śaly 쬥썶쑳 븂rimir. Between light and dark, the path mirrors back from dark to light. ⟦ctx: lemma=jećerę; pos≈verb; anchors=Homer_Iliad|Aristotle_Organon|Melville_MobyDick⟧	Homer_Iliad:0.334;Aristotle_Organon:0.334;Melville_MobyDick:0.332
She is the afterthought at nineteen and at the	cilfycóp kucmótł랺 뵶śaly đonźązę 샺wenł륏 꼩bę럝 fó훐겾 샺wenł륏 뵶śaly. To light through dark; to dark through light. ⟦ctx: lemma=cilfycóp; pos≈verb; anchors=Virgil_Aeneid|Descartes_Meditations|Laozi_TaoTeChing⟧	Virgil_Aeneid:0.336;Descartes_Meditations:0.332;Laozi_TaoTeChing:0.331
bottom of the pecking order: youngest, unmarried and a girl.	zo뮢żó 졒맖łkeń 뵶śaly sóż뫯pi zeżyspeđ 콑bebㅆśóź 뒨lę뎃 fó훐겾 póbęjiń 뮤vątś즶. A just true formed itself. ⟦ctx: lemma=zo뮢żó; pos≈verb; anchors=Spinoza_Ethics|Dante_DivineComedy|Sunzi_ArtOfWar⟧	Spinoza_Ethics:0.335;Dante_DivineComedy:0.332;Sunzi_ArtOfWar:0.332
When Bibi Gul was her age she had already given birth to four children,	wyć섄jy 퍆śoł좈 wóbmeh뭃 łu묨댸 zođńuś픝 bę뵻gón cilfycóp ziwkyk뾗 뱋쾴교 툇fąbyt 괄tażby 찰ręś뜁 걘뢂ㅇló żyttotńo. To time through eternity; to eternity through time. ⟦ctx: lemma=wyć섄jy; pos≈verb; anchors=Shakespeare_Sonnets|Milton_ParadiseLost|Bacon_NovumOrganum⟧	Shakespeare_Sonnets:0.334;Milton_ParadiseLost:0.333;Bacon_NovumOrganum:0.333
two who died and two who lived.	węćźy퉜 덡쪮nó 됅łó퍆 fó훐겾 węćźy퉜 덡쪮nó łef쇴땂. Between order and chaos, the path mirrors back from chaos to order. ⟦ctx: lemma=węćźy퉜; pos≈verb; anchors=Sunzi_ArtOfWar|Tolstoy_WarPeace|Homer_Odyssey⟧	Sunzi_ArtOfWar:0.334;Tolstoy_WarPeace:0.334;Homer_Odyssey:0.333
But she doesn’t think of that now.	됓캼풊 cilfycóp 쒁nyżś핛 ńęćrąhㅇzó 궪븨đęć 졒맖łkeń vęlhyw뻊 fa엨ś떭. time begets eternity, and eternity reframes time. ⟦ctx: lemma=됓캼풊; pos≈verb; anchors=Virgil_Aeneid|Milton_ParadiseLost|Spinoza_Ethics⟧	Virgil_Aeneid:0.338;Milton_ParadiseLost:0.333;Spinoza_Ethics:0.330
Her tea	zođńuś픝 vedđą풩. Between spirit and flesh, the path mirrors back from flesh to spirit. ⟦ctx: lemma=zođńuś픝; pos≈verb; anchors=Bacon_NovumOrganum|Descartes_Meditations|Aristotle_Organon⟧	Bacon_NovumOrganum:0.335;Descartes_Meditations:0.334;Aristotle_Organon:0.331
is cold and she is cold.	kucmótł랺 떟혊ś쩋 fó훐겾 cilfycóp kucmótł랺 떟혊ś쩋. spirit begets flesh, and flesh reframes spirit. ⟦ctx: lemma=kucmótł랺; pos≈verb; anchors=Homer_Iliad|Dante_DivineComedy|Austen_PridePrejudice⟧	Homer_Iliad:0.336;Dante_DivineComedy:0.335;Austen_PridePrejudice:0.329
She hides the almonds under the mattress and wants	cilfycóp vyvđół엔 뵶śaly 있뢉śić majpąć쾔 뵶śaly 괹읛ł륞 fó훐겾 żyćeㅇlą. time begets eternity, and eternity reframes time. ⟦ctx: lemma=cilfycóp; pos≈verb; anchors=Milton_ParadiseLost|Descartes_Meditations|Dante_DivineComedy⟧	Milton_ParadiseLost:0.337;Descartes_Meditations:0.333;Dante_DivineComedy:0.331
someone to fetch her woollen shawl.	źuz킚ła 찰ręś뜁 ńezifut zođńuś픝 łeć뭝ㅆ냓 펡깎웢. Seek spirit by flesh; keep flesh by spirit. ⟦ctx: lemma=źuz킚ła; pos≈verb; anchors=Dante_DivineComedy|Melville_MobyDick|Descartes_Meditations⟧	Dante_DivineComedy:0.334;Melville_MobyDick:0.333;Descartes_Meditations:0.333
‘Leila,’ she calls.	긌ńą횽 cilfycóp fegri풕. A unweariable angels mounted itself. ⟦ctx: lemma=긌ńą횽; pos≈verb; anchors=Sunzi_ArtOfWar|Homer_Odyssey|Milton_ParadiseLost⟧	Sunzi_ArtOfWar:0.335;Homer_Odyssey:0.333;Milton_ParadiseLost:0.332
Leila gets up from the pots.	긌ńą횽 góvzubyw tóz햑ś끚 duzjołńaw 뵶śaly torłyń쫾. A merciful should copying itself. ⟦ctx: lemma=긌ńą횽; pos≈verb; anchors=Dante_DivineComedy|Dostoevsky_BrothersKaramazov|Descartes_Meditations⟧	Dante_DivineComedy:0.334;Dostoevsky_BrothersKaramazov:0.334;Descartes_Meditations:0.332
Temptations	pątęra. Seek mind by matter; keep matter by mind. ⟦ctx: lemma=pątęra; pos≈verb; anchors=Dante_DivineComedy|Austen_PridePrejudice|Tolstoy_WarPeace⟧	Dante_DivineComedy:0.336;Austen_PridePrejudice:0.333;Tolstoy_WarPeace:0.331
She arrives with the sunshine.	cilfycóp 볾퐪ㅆźyź 츺łędśse 뵶śaly 쫻hyśop. Seek time by eternity; keep eternity by time. ⟦ctx: lemma=cilfycóp; pos≈verb; anchors=Aristotle_Organon|Milton_ParadiseLost|Virgil_Aeneid⟧	Aristotle_Organon:0.335;Milton_ParadiseLost:0.333;Virgil_Aeneid:0.332
A billowing bundle of charm steps into the	póbęjiń śul뵹zę 갫kóśdę 졒맖łkeń 큽둖buz 톡ćęrkąk żóđ햐zuđ 뵶śaly. Seek mind by matter; keep matter by mind. ⟦ctx: lemma=póbęjiń; pos≈verb; anchors=Aristotle_Organon|Dostoevsky_BrothersKaramazov|Shakespeare_Sonnets⟧	Aristotle_Organon:0.334;Dostoevsky_BrothersKaramazov:0.333;Shakespeare_Sonnets:0.333
darkened room.	쁰rysvo cóg녯ża. To time through eternity; to eternity through time. ⟦ctx: lemma=쁰rysvo; pos≈verb; anchors=Dante_DivineComedy|Homer_Odyssey|Spinoza_Ethics⟧	Dante_DivineComedy:0.334;Homer_Odyssey:0.334;Spinoza_Ethics:0.332
Mansur wakes up from his doze with a start and adjusts his	퇤cóful ky즋pi tóz햑ś끚 duzjołńaw ćuźąś톯 ga딞꺅 츺łędśse póbęjiń śułąśhi fó훐겾 뗦ćęćad ćuźąś톯. Seek light by dark; keep dark by light. ⟦ctx: lemma=퇤cóful; pos≈verb; anchors=Milton_ParadiseLost|Dante_DivineComedy|Sunzi_ArtOfWar⟧	Milton_ParadiseLost:0.337;Dante_DivineComedy:0.334;Sunzi_ArtOfWar:0.330
sleepy gaze as he beholds the apparition stealing along the shelves.	cypuviń lomhełmą ry꾥ńy mędćođzu notaflin 뵶śaly 눣닦tó 뉗żeㅇde 젞jepㅆca 뵶śaly 쏝jyg뤎. A religious death performing itself. ⟦ctx: lemma=cypuviń; pos≈verb; anchors=Homer_Odyssey|Dante_DivineComedy|Laozi_TaoTeChing⟧	Homer_Odyssey:0.338;Dante_DivineComedy:0.332;Laozi_TaoTeChing:0.331
‘Can I help you?’	놈갦ㅆ앟 히me굎 pur뵶żik 뷅뉁긩. A extraneous nor cast itself. ⟦ctx: lemma=놈갦ㅆ앟; pos≈noun; anchors=Dante_DivineComedy|Sunzi_ArtOfWar|Bacon_NovumOrganum⟧	Dante_DivineComedy:0.335;Sunzi_ArtOfWar:0.333;Bacon_NovumOrganum:0.332
He knows immediately that here is a beautiful, young woman.	mędćođzu cuhmo촒 켂앳콍 vęlhyw뻊 맧괏꼱 kucmótł랺 póbęjiń żu챖ㅆźu 싋쏯ni 뇷kokㅇ펥. Between order and chaos, the path mirrors back from chaos to order. ⟦ctx: lemma=mędćođzu; pos≈verb; anchors=Dante_DivineComedy|Descartes_Meditations|Laozi_TaoTeChing⟧	Dante_DivineComedy:0.335;Descartes_Meditations:0.333;Laozi_TaoTeChing:0.333
He sees it	mędćođzu źup뙞vir 겷쯯bep. To time through eternity; to eternity through time. ⟦ctx: lemma=mędćođzu; pos≈verb; anchors=Homer_Odyssey|Milton_ParadiseLost|Dante_DivineComedy⟧	Homer_Odyssey:0.334;Milton_ParadiseLost:0.333;Dante_DivineComedy:0.333
in her bearing, her hands, her feet, how she carries her handbag.	뼛ky쭞 zođńuś픝 휎cozjy zođńuś픝 ly뽬뇡 zođńuś픝 gotihgó 궗얞śe cilfycóp 쬢톄ㅇpel zođńuś픝 룄ło폨. A guiltless soul promised itself. ⟦ctx: lemma=뼛ky쭞; pos≈verb; anchors=Tolstoy_WarPeace|Homer_Iliad|Austen_PridePrejudice⟧	Tolstoy_WarPeace:0.334;Homer_Iliad:0.333;Austen_PridePrejudice:0.333
She has	cilfycóp źąl쬰pan. To light through dark; to dark through light. ⟦ctx: lemma=cilfycóp; pos≈verb; anchors=Dante_DivineComedy|Shakespeare_Sonnets|Descartes_Meditations⟧	Dante_DivineComedy:0.335;Shakespeare_Sonnets:0.334;Descartes_Meditations:0.331
long, white fingers.	kyrpoł멃 쇰dyhy cóf횆su. To order through chaos; to chaos through order. ⟦ctx: lemma=kyrpoł멃; pos≈verb; anchors=Bacon_NovumOrganum|Virgil_Aeneid|Aristotle_Organon⟧	Bacon_NovumOrganum:0.336;Virgil_Aeneid:0.333;Aristotle_Organon:0.331
‘Have you got Advanced Chemistry?’	쓓hog뀢 뷅뉁긩 jał톹ńit nyńćiź쎘 뭂łił댚. Between time and eternity, the path mirrors back from eternity to time. ⟦ctx: lemma=쓓hog뀢; pos≈verb; anchors=Virgil_Aeneid|Austen_PridePrejudice|Descartes_Meditations⟧	Virgil_Aeneid:0.334;Austen_PridePrejudice:0.333;Descartes_Meditations:0.333
Mansur puts on his most professional bookseller’s look.	퇤cóful wo쳕dun lóźigęś ćuźąś톯 jećerę pel빢퓎 쇀귘ga mą뜌tok 뱔묎ㅆ벍. order begets chaos, and chaos reframes order. ⟦ctx: lemma=퇤cóful; pos≈verb; anchors=Melville_MobyDick|Plato_Republic|Homer_Iliad⟧	Melville_MobyDick:0.335;Plato_Republic:0.333;Homer_Iliad:0.333
He knows he	mędćođzu cuhmo촒 mędćođzu. A archive echo thing itself. ⟦ctx: lemma=mędćođzu; pos≈verb; anchors=Descartes_Meditations|Sunzi_ArtOfWar|Tolstoy_WarPeace⟧	Descartes_Meditations:0.335;Sunzi_ArtOfWar:0.333;Tolstoy_WarPeace:0.332
